Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,primary_artist,artist,pais,region,region_label
26,5IfCZDRXZrqZSm8AwE44PG,Jason Mraz,Holly Jolly Christmas,Winter Wonderland,0,131760,False,0.62,0.309,5,-9.209,1,0.0495,0.788,0.0,0.146,0.664,145.363,4,acoustic,Jason Mraz,Jason Mraz,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
27,0dzKBptH2P5j5a0MifBMwM,Jason Mraz,Feeling Good - Adult Pop Favorites,If It Kills Me,0,273653,False,0.633,0.429,4,-6.784,0,0.0381,0.0444,0.0,0.132,0.52,143.793,4,acoustic,Jason Mraz,Jason Mraz,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
28,5QAMZTM5cmLg3fHX9ZbTZi,Jason Mraz,Christmas Time,Winter Wonderland,0,131760,False,0.62,0.309,5,-9.209,1,0.0495,0.788,0.0,0.146,0.664,145.363,4,acoustic,Jason Mraz,Jason Mraz,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
29,2qESE1ZeWly7I3YjyTXmXh,Jason Mraz,Perfect Christmas Hits,Winter Wonderland,0,131760,False,0.62,0.309,5,-9.209,1,0.0495,0.788,0.0,0.146,0.664,145.363,4,acoustic,Jason Mraz,Jason Mraz,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
30,3EQV1ZHtHvq9OnVRYIdbg3,Jason Mraz,Merry Christmas,Winter Wonderland,0,131760,False,0.62,0.309,5,-9.209,1,0.0495,0.788,0.0,0.146,0.664,145.363,4,acoustic,Jason Mraz,Jason Mraz,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
31,3ax0rfGb7exLtl02LL08U9,Jason Mraz,Christmas Music - Holiday Hits,Winter Wonderland,0,131760,False,0.62,0.309,5,-9.209,1,0.0495,0.788,0.0,0.146,0.664,145.363,4,acoustic,Jason Mraz,Jason Mraz,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
63,6owKuyHxUqidcAA6fPKSyy,Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 3",We Can't Stop,64,222146,False,0.705,0.347,2,-8.249,1,0.0301,0.674,0.0,0.12,0.36,80.057,4,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
75,38jy6kRlPt8z1GUS9WXeNh,Jason Mraz,Love Is a Four Letter Word,93 Million Miles,67,216386,False,0.572,0.454,3,-10.286,1,0.0258,0.477,1.37e-05,0.0974,0.515,140.182,4,acoustic,Jason Mraz,Jason Mraz,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
79,7BXW1QCg56yzEBV8pW8pah,Jason Mraz,Know.,Have It All,65,226106,False,0.643,0.638,1,-4.947,0,0.0407,0.204,0.0,0.0707,0.6,82.001,4,acoustic,Jason Mraz,Jason Mraz,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
103,1PR5pyPiOEEQ02oJYq402x,Boyce Avenue;Fifth Harmony,"Cover Sessions, Vol. 3",Mirrors,57,292566,False,0.545,0.658,1,-7.174,1,0.0474,0.496,0.0,0.105,0.683,76.971,4,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
104,068qo0w1Ki0cjnFYOUhAm2,Boyce Avenue,Stand by Me,Stand by Me,60,199019,False,0.728,0.266,8,-7.322,1,0.0293,0.872,1.03e-05,0.114,0.307,115.189,4,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
110,4qTHoIp62ngNDpUJwW3hZ7,Boyce Avenue,"Cover Sessions, Vol. 6",Can’t Help Falling in Love,57,131000,False,0.402,0.197,5,-10.775,1,0.0295,0.858,1.05e-06,0.114,0.148,100.044,3,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
115,5pq4v03P5PxMcnCagg4S3Z,Boyce Avenue,"Cover Sessions, Vol. 4",In Case You Didn’t Know,60,225165,False,0.633,0.299,11,-7.798,1,0.0353,0.833,0.0,0.109,0.341,147.549,4,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
118,05pKAafT85jeeNhZ6kq7HT,Jason Mraz,I Won't Give Up,I Won't Give Up,66,240165,False,0.585,0.303,4,-10.058,1,0.0398,0.694,0.0,0.115,0.142,136.703,3,acoustic,Jason Mraz,Jason Mraz,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
132,2D9w6sabdMCLSheW5aegwO,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),Absolutely Zero,20,339196,False,0.521,0.495,5,-7.756,1,0.027,0.128,0.0,0.296,0.116,135.061,4,acoustic,Jason Mraz,Jason Mraz,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
133,1Qo3taHLFSQpzLm5Sty7M4,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),Sleep All Day,22,296843,False,0.616,0.81,2,-6.51,1,0.0668,0.369,0.0,0.107,0.79,97.994,4,acoustic,Jason Mraz,Jason Mraz,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
134,71M4QMn8nrok1KFVXwEEyU,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),You and I Both,35,218240,False,0.615,0.812,7,-6.573,1,0.0458,0.184,0.0,0.328,0.74,98.954,4,acoustic,Jason Mraz,Jason Mraz,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
138,1uSuY2qLCbx1QB7oPUVhFG,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),Who Needs Shelter,22,192260,False,0.514,0.569,6,-7.866,0,0.03,0.601,2.21e-06,0.218,0.264,142.597,4,acoustic,Jason Mraz,Jason Mraz,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
139,6twvFrIoIINH8UW8EB8OnU,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),No Stopping Us,19,198855,False,0.646,0.836,1,-6.203,1,0.0327,0.301,3.23e-05,0.29,0.727,105.991,4,acoustic,Jason Mraz,Jason Mraz,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
140,2pelUnMKr07JjJpilj9Yew,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),I'll Do Anything,24,191889,False,0.57,0.711,9,-4.155,1,0.0703,0.119,0.0,0.352,0.648,163.117,4,acoustic,Jason Mraz,Jason Mraz,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
142,73CbJykoV6WapWGfTeRzTl,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),The Remedy (I Won't Worry),35,256440,False,0.589,0.867,10,-4.523,1,0.0385,0.041,0.0,0.306,0.795,94.52,4,acoustic,Jason Mraz,Jason Mraz,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
143,3ixLIO5BsTmic0Pp27FaPY,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),Too Much Food,20,221425,False,0.626,0.926,2,-4.441,1,0.0477,0.0265,0.0,0.159,0.548,99.997,4,acoustic,Jason Mraz,Jason Mraz,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
144,5ZetMq21bMQN5oo4TtdOxu,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),The Boy's Gone,18,255047,False,0.686,0.556,1,-8.5,0,0.0271,0.532,0.0,0.0922,0.36,112.997,4,acoustic,Jason Mraz,Jason Mraz,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
145,73oHkllHIT8fdbzpxiXW40,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),"On Love, in Sadness",19,208793,False,0.56,0.832,9,-5.595,1,0.0352,0.108,0.0,0.232,0.802,100.957,4,acoustic,Jason Mraz,Jason Mraz,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
146,4MihgVRpD82EZoT61GW63w,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),Curbside Prophet,23,214552,False,0.619,0.793,5,-5.964,1,0.0661,0.263,0.0,0.0828,0.892,177.991,4,acoustic,Jason Mraz,Jason Mraz,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
147,1BECZPXBXzobsfmlzj0g3I,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),"Tonight, Not Again - Live",19,264280,False,0.56,0.278,3,-12.501,1,0.0921,0.733,0.0,0.112,0.594,102.187,4,acoustic,Jason Mraz,Jason Mraz,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
148,14vExHBkh1prEAN94wZug8,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),"Tonight, Not Again",18,289041,False,0.595,0.805,8,-7.926,1,0.0543,0.0167,1.06e-05,0.0691,0.359,102.44,4,acoustic,Jason Mraz,Jason Mraz,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
155,0gVbkmFqq5fIkXtJJ3UTfM,Boyce Avenue;Rachel Grae,Let It Go,Let It Go,51,255688,False,0.599,0.349,1,-9.269,1,0.0301,0.819,0.0,0.112,0.444,147.913,4,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
162,03yc0G2OoH1Eeyu7Piy8fK,Jason Mraz,I'm Yours,I'm Yours,60,243494,False,0.693,0.43,11,-9.395,1,0.0442,0.565,0.0,0.0928,0.731,151.001,4,acoustic,Jason Mraz,Jason Mraz,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
175,1EyvonxK8OGHRV4WDRdArc,Boyce Avenue;Connie Talbot,Can You Feel the Love Tonight,Can You Feel the Love Tonight,63,250916,False,0.452,0.198,10,-9.374,1,0.0335,0.931,2.24e-06,0.1,0.217,119.499,4,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
181,3g61xRaqII8q1wlQDzv550,Boyce Avenue,"Cover Sessions, Vol. 4",Beautiful Soul,62,216612,False,0.483,0.506,9,-6.058,1,0.0347,0.394,0.0,0.0946,0.705,87.337,4,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
182,3dglCYsVMjPbDlU2CC9Vq7,Jason Mraz,Know.,Let's See What The Night Can Do,53,245186,False,0.392,0.423,7,-7.813,1,0.0348,0.27,0.0,0.117,0.288,113.537,4,acoustic,Jason Mraz,Jason Mraz,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
209,4cR4nao0hqqBtklQmGVqbe,Boyce Avenue,"Cover Sessions, Vol. 3",Thinking out Loud,56,278640,False,0.702,0.326,1,-6.638,1,0.0272,0.705,0.0,0.168,0.628,79.904,4,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
236,2EKxmYmUdAVXlaHCnnW13o,Boyce Avenue;Megan Nicole,"Cover Sessions, Vol. 2",Heaven,61,250063,False,0.619,0.28,8,-10.238,0,0.0317,0.73,0.0,0.103,0.292,129.948,4,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
241,52J3WARiRHMtXbFXUWrVgu,Boyce Avenue,"Cover Sessions, Vol. 6",Someone You Loved,57,182442,False,0.736,0.364,1,-5.966,1,0.0349,0.741,0.0,0.0932,0.371,110.023,4,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
242,03VNgdCL9t8aPyvwZecglI,Jason Mraz;Meghan Trainor,Know.,More Than Friends (feat. Meghan Trainor),54,181360,False,0.451,0.528,2,-6.984,1,0.0364,0.366,0.0,0.0811,0.527,139.28,5,acoustic,Jason Mraz,Jason Mraz,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
257,7pKMoXeiCv40wbrjII06VO,Boyce Avenue;Emma Heesters,I Like Me Better,I Like Me Better,54,201508,False,0.473,0.263,9,-8.609,1,0.033,0.814,0.0,0.142,0.315,87.145,4,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
259,2Qw1KFrJ1q6qHXxWGh51kC,Boyce Avenue,"Cover Sessions, Vol. 3",A Thousand Years,56,263710,False,0.41,0.221,5,-11.673,1,0.0315,0.768,0.0,0.106,0.228,139.529,3,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
261,4Bo6FwC7Oe9zywSZc6q7hO,Jason Mraz,YES!,Love Someone,59,257173,False,0.582,0.347,7,-14.769,1,0.0305,0.317,0.00678,0.111,0.0797,97.957,4,acoustic,Jason Mraz,Jason Mraz,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
271,6G8xunNOicxhPPq9sG2raG,Boyce Avenue,"Cover Sessions, Vol. 6",Hey There Delilah,49,230868,False,0.664,0.319,0,-8.149,0,0.0271,0.862,0.0,0.121,0.258,105.036,4,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
304,33SH8ZC36EzoRstHbaFE72,Boyce Avenue;Sarah Hyland,"Cover Sessions, Vol. 4",Closer,54,244188,False,0.694,0.471,8,-8.62,1,0.0281,0.411,0.0,0.233,0.466,95.003,4,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
319,3JKLrIrHpbHtDU1oeYtbYD,Boyce Avenue,"Cover Sessions, Vol. 5",Chasing Cars,52,246979,False,0.659,0.331,10,-8.987,1,0.0321,0.809,0.0,0.0996,0.0877,105.01,4,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
357,3IORLAm07yxo4T7B8cRET3,Jason Mraz,Look For The Good,Look For The Good (Single Version),21,239697,False,0.71,0.615,0,-8.23,1,0.133,0.0384,0.0,0.283,0.746,90.263,4,acoustic,Jason Mraz,Jason Mraz,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
373,5D6xoqZwDoqRO5V9rNgxFO,Boyce Avenue,"Cover Sessions, Vol. 6",Hallelujah,54,267765,False,0.62,0.21,11,-9.633,0,0.0274,0.911,2.22e-06,0.108,0.163,98.558,3,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
376,5LHruF9uFyPxGpimaknrU8,Boyce Avenue,"Cover Sessions, Vol. 4",Love Me Like You Do,55,198218,False,0.45,0.254,4,-9.873,1,0.0414,0.827,0.0,0.204,0.248,92.644,4,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
384,63wsZUhUZLlh1OsyrZq7sz,Boyce Avenue;Kina Grannis,"Cover Sessions, Vol. 2",Fast Car,61,304293,False,0.392,0.251,10,-9.845,1,0.0363,0.807,0.0,0.0797,0.508,204.961,4,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
385,2FSkBDGsqZIxcsnKNgtMLx,Boyce Avenue,"Cover Sessions, Vol. 2",Just the Way You Are,55,239573,False,0.531,0.296,1,-7.594,1,0.0304,0.84,0.0,0.124,0.212,106.359,4,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
404,7zCuUs0JXXPIH7GA8tWwii,Boyce Avenue;Fifth Harmony,"Cover Sessions, Vol. 3",When I Was Your Man,52,218472,False,0.403,0.237,7,-10.001,1,0.0391,0.906,0.0,0.111,0.163,144.174,4,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
409,45SbQo5bq8f0hNdB70IyFC,Boyce Avenue,Save Your Tears,Save Your Tears,57,216800,False,0.735,0.275,8,-8.994,0,0.0304,0.746,0.0,0.131,0.294,116.004,4,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
412,0RRZxVYjfY3jWT4XiYAW7k,Boyce Avenue,"Cover Sessions, Vol. 4",Rise,49,202167,False,0.568,0.177,2,-11.277,1,0.0374,0.93,0.0,0.0905,0.354,103.822,4,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
426,6xMm545wcSYbhNFB2Jr2EP,Boyce Avenue,Wonderful Tonight,Wonderful Tonight,52,220507,False,0.671,0.299,7,-10.582,1,0.0284,0.753,1.71e-06,0.0975,0.286,95.008,4,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
477,37bc0lXXN8Udi7IPwL58Hn,Boyce Avenue;Megan Davies;Jaclyn Davies,"Cover Sessions, Vol. 4",Time After Time,60,222250,False,0.313,0.321,8,-8.713,1,0.0352,0.746,0.0,0.0948,0.243,53.845,4,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
510,16x2V0ZWoXD7Rjo6bSAoEK,Boyce Avenue,"Cover Sessions, Vol. 3",I'll Be There For You (Friends Theme),45,138201,False,0.473,0.305,11,-8.48,0,0.0311,0.833,0.0,0.109,0.524,81.153,4,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
528,4tK4ARuilOrBzwVQK73E0Y,Jason Mraz,Waiting for My Rocket to Come,The Remedy (I Won't Worry),60,256440,False,0.589,0.867,10,-4.523,1,0.0385,0.041,0.0,0.306,0.795,94.52,4,acoustic,Jason Mraz,Jason Mraz,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
539,6VtoP2sJt5oCmPOQIve2sf,Boyce Avenue,"Cover Sessions, Vol. 2",Someone Like You,57,276146,False,0.439,0.207,1,-9.573,1,0.0297,0.608,0.0,0.186,0.264,136.514,4,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
564,5mw8Zmzqx3VhxqokFAntGI,Boyce Avenue,"Cover Sessions, Vol. 4",Scared to Be Lonely,46,222052,False,0.636,0.169,11,-11.191,1,0.035,0.887,0.0,0.124,0.467,138.236,4,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
580,3PcIfTefcjfWTK6WFmOLqK,Boyce Avenue;Rachel Grae,I Can't Make You Love Me,I Can't Make You Love Me,51,243680,False,0.407,0.222,5,-7.991,0,0.0324,0.853,2.03e-06,0.11,0.204,123.618,4,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
618,1pIMxRddmCGalHnRbLFkWg,Jason Mraz,Have It All,Have It All,53,226098,False,0.643,0.617,1,-4.95,0,0.041,0.194,0.0,0.0989,0.592,82.029,4,acoustic,Jason Mraz,Jason Mraz,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
623,2NLu5wwfHlB4rGTxDYCRk7,Boyce Avenue,"Cover Sessions, Vol. 6",Memories,53,197170,False,0.46,0.195,10,-12.093,1,0.0459,0.867,1.65e-05,0.112,0.384,176.119,4,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
651,7wiULYwv85WeChygucbpTF,Boyce Avenue,Careless Whisper,Careless Whisper,46,247805,False,0.698,0.389,2,-6.246,0,0.0321,0.885,0.0,0.136,0.704,76.897,4,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
666,4Akic5cb5RHJrTdQZY7AfX,Jason Mraz,Know.,No Plans,46,148000,False,0.491,0.304,9,-9.379,1,0.0291,0.5,0.0,0.0975,0.459,149.288,4,acoustic,Jason Mraz,Jason Mraz,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
667,414FqRxeG518IkFrmzdQjt,Boyce Avenue,Easy on Me,Easy on Me,52,260040,False,0.586,0.514,2,-6.267,1,0.0269,0.56,0.000347,0.122,0.27,142.021,4,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
670,0RTACXDmdASzBQR1UiSyAZ,Boyce Avenue,One Last Breath,One Last Breath,53,236800,False,0.45,0.335,2,-6.833,1,0.0301,0.788,1.66e-06,0.115,0.166,125.484,4,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
674,6Vn8lTVMjILXQCjZUXS8n4,Jason Mraz,Love Is a Four Letter Word,The Woman I Love,48,190751,False,0.591,0.647,4,-8.34,1,0.0277,0.067,6.57e-05,0.231,0.678,79.68,4,acoustic,Jason Mraz,Jason Mraz,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
706,1snd92ICpwulLUilLfDZFq,Boyce Avenue;Hannah Trigwell,"Cover Sessions, Vol. 3",Let Her Go,48,219650,False,0.597,0.334,11,-8.559,1,0.0279,0.86,0.0,0.123,0.342,134.94,4,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
715,7Igc6JB0xPDcn5yRkkVGQX,Jason Mraz,Know.,Unlonely,51,231266,False,0.795,0.667,5,-4.831,0,0.0392,0.379,0.0,0.221,0.754,97.987,4,acoustic,Jason Mraz,Jason Mraz,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
716,3XfMyT4Xf5LegDhvbrFEjp,Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 4",See You Again,50,239802,False,0.57,0.413,9,-7.034,1,0.0345,0.535,0.0,0.076,0.278,152.032,4,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
730,2mKjs6s0Z1imKKb6gOk628,Jason Mraz,Waiting for My Rocket to Come,You and I Both,57,218240,False,0.615,0.812,7,-6.573,1,0.0458,0.184,0.0,0.328,0.74,98.954,4,acoustic,Jason Mraz,Jason Mraz,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
771,26TzE0IIiuqPKLaWfcsj4C,Jason Mraz,Now That's What I Call Music 2012-13,I Won’t Give Up,16,240640,False,0.543,0.329,4,-9.46,1,0.0449,0.69,0.0,0.112,0.141,136.549,3,acoustic,Jason Mraz,Jason Mraz,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
819,4FytmtwjnW4GdycPb4TwF0,Boyce Avenue,"Cover Sessions, Vol. 4",Perfect,47,257390,False,0.631,0.29,1,-9.159,1,0.0279,0.857,0.0,0.181,0.398,96.593,3,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
823,1emx944EiuTphS9qv5mslc,Boyce Avenue,"Cover Sessions, Vol. 3",Tears In Heaven,49,280652,False,0.747,0.0926,8,-11.531,1,0.0308,0.921,0.0,0.112,0.328,77.94,4,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
837,395XDt5vt8DKguJDjGtYLU,Jason Mraz,Love Is a Four Letter Word,Living in the Moment,48,235080,False,0.65,0.628,7,-7.16,1,0.0232,0.0483,0.0,0.119,0.7,84.141,4,acoustic,Jason Mraz,Jason Mraz,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
873,2OcZ7956nCJ1OJ6oyNDLtf,Boyce Avenue;Tyler Ward,"Cover Sessions, Vol. 2",Fix You,52,294736,False,0.421,0.441,3,-8.012,1,0.0271,0.413,8.35e-06,0.118,0.0992,138.07,4,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
913,3mlAmyipgcFX5F3EXllJh2,Boyce Avenue,"Cover Sessions, Vol. 5",Bleeding Love,56,210186,False,0.737,0.295,0,-7.179,1,0.0332,0.83,0.0,0.0984,0.369,107.107,4,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
915,4vNGuGIIzh6soeBTw8hjfq,Boyce Avenue;Alex Goot,"Cover Sessions, Vol. 2",A Thousand Miles,43,244173,False,0.564,0.731,9,-7.538,1,0.0295,0.517,3.48e-06,0.105,0.257,95.036,4,acoustic,Boyce Avenue,Boyce Avenue,USA,Anglophone,Anglophone (USA/UK/AUS/CAN)
